Teff,logg,Mbol,BC,U,B,V,R,I,J,H,Ks,Y,J,H,K,W1,W2,W3,W4,S3.6,S4.5,S5.8,S8.0,u,g,r,i,z,g,r,i,z,y,G2,G2_BP,G2_RP,G3,G3_BP,G3_RP,FUV,NUV,Age,logL,mass,spectral_type
1500.0,7.158,19.149,1.009,23.068,20.66,18.139,17.863,19.87,20.125,20.048,22.246,20.089,20.052,19.879,22.217,16.935,16.221,15.34,14.386,16.594,16.208,16.289,15.937,24.093,19.438,17.724,19.998,19.722,19.051,17.8,20.067,19.782,19.607,18.524,18.506,18.681,18.561,18.51,18.744,58.769,34.052,14180000000.0,-5.7396,0.2,DA
1750.0,7.157,18.478,0.79,22.301,20.108,17.687,17.235,18.501,18.897,19.026,20.683,18.907,18.819,18.882,20.648,16.342,15.701,14.93,14.109,16.045,15.696,15.714,15.416,23.296,18.942,17.145,18.724,18.552,18.576,17.203,18.774,18.561,18.569,17.881,17.986,17.718,17.911,17.99,17.768,56.737,32.976,11660000000.0,-5.4712000000000005,0.2,DA
2000.0,7.157,17.896,0.561,21.672,19.646,17.335,16.741,17.408,17.859,18.137,19.358,17.91,17.781,18.016,19.317,15.824,15.257,14.549,13.842,15.567,15.257,15.228,14.955,22.641,18.542,16.723,17.701,17.596,18.194,16.758,17.736,17.575,17.703,17.342,17.597,16.943,17.366,17.601,16.98,54.881,31.946,9847000000.0,-5.2384,0.2,DA
2250.0,7.156,17.383,0.332,21.133,19.249,17.051,16.345,16.553,16.964,17.322,18.161,17.06,16.892,17.223,18.118,15.334,14.839,14.185,13.573,15.117,14.843,14.777,14.526,22.073,18.209,16.409,16.904,16.831,17.878,16.424,16.926,16.794,16.985,16.884,17.295,16.317,16.903,17.299,16.345,53.188,31.066,8347000000.0,-5.033199999999999,0.2,DA
2500.0,7.155,16.923,0.134,20.614,18.872,16.79,16.0,15.849,16.277,16.716,17.325,16.361,16.211,16.63,17.283,14.972,14.531,13.915,13.365,14.785,14.538,14.451,14.217,21.528,17.888,16.15,16.254,16.188,17.575,16.15,16.267,16.142,16.368,16.47,17.028,15.782,16.485,17.032,15.802,51.696,30.252,6953000000.0,-4.849199999999999,0.2,DA
2750.0,7.154,16.507,-0.057,20.147,18.537,16.564,15.719,15.291,15.619,16.094,16.537,15.697,15.56,16.021,16.498,14.602,14.22,13.642,13.146,14.444,14.228,14.128,13.912,21.041,17.605,15.942,15.76,15.652,17.309,15.934,15.763,15.609,15.812,16.119,16.802,15.346,16.132,16.807,15.36,50.197,29.467,5510000000.0,-4.6828,0.2,DA
3000.0,7.153,16.127,-0.217,19.684,18.207,16.343,15.475,14.866,15.018,15.505,15.837,15.085,14.967,15.441,15.802,14.256,13.927,13.38,12.929,14.123,13.936,13.829,13.625,20.566,17.326,15.749,15.385,15.219,17.047,15.737,15.381,15.192,15.325,15.816,16.584,14.991,15.831,16.589,15.002,48.642,28.665,4616000000.0,-4.530799999999999,0.2,DA
3250.0,7.152,15.776,-0.345,19.208,17.869,16.121,15.26,14.558,14.465,14.904,15.139,14.538,14.419,14.849,15.106,13.893,13.617,13.096,12.696,13.786,13.627,13.513,13.319,20.083,17.042,15.561,15.105,14.889,16.781,15.547,15.098,14.883,14.921,15.56,16.363,14.713,15.577,16.369,14.722,46.944,27.819,4038000000.0,-4.3904,0.2,DA
3500.0,7.15,15.45,-0.437,18.71,17.518,15.888,15.058,14.329,13.975,14.309,14.469,14.096,13.932,14.263,14.438,13.521,13.292,12.802,12.461,13.437,13.302,13.185,13.0,19.582,16.746,15.365,14.886,14.642,16.503,15.352,14.877,14.654,14.615,15.334,16.13,14.49,15.354,16.137,14.5,44.958,26.922,3553000000.0,-4.26,0.2,DA
3750.0,7.148,15.146,-0.498,18.201,17.153,15.644,14.859,14.138,13.583,13.734,13.806,13.781,13.54,13.699,13.776,13.13,12.935,12.503,12.253,13.065,12.945,12.83,12.664,19.071,16.436,15.161,14.694,14.446,16.212,15.148,14.685,14.468,14.388,15.123,15.884,14.297,15.143,15.892,14.307,42.563,25.936,3145000000.0,-4.1384,0.2,DA
